order_id,date,product,category,region,sales_rep,quantity,unit_cost,unit_price,revenue,cost,profit
1001,2023-01-01,Wireless Mouse,Electronics,South,Bob,1,15,35,35,15,20
1002,2023-01-01,USB-C Hub,Electronics,North,Eva,2,20,55,110,40,70
1003,2023-01-01,Pen Pack,Stationery,,Bob,1,3,12,12,3,9
1004,2023-01-01,Office Chair,Furniture,South,Frank,9,150,320,2880,1350,1530
1005,2023-01-01,Keyboard Mech,Electronics,West,Eva,9,55,130,1170,495,675
1006,2023-01-01,Standing Desk,Furniture,South,Frank,1,300,650,650,300,350
1007,2023-01-01,Pen Pack,Stationery,South,Carol,6,3,12,72,18,54
1008,2023-01-01,Wireless Mouse,Electronics,East,Carol,2,15,35,70,30,40
1009,2023-01-02,Standing Desk,Furniture,North,David,1,300,650,650,300,350
1010,2023-01-02,Wireless Mouse,Electronics,East,Eva,9,15,35,315,135,180
1011,2023-01-02,Office Chair,Furniture,South,Carol,2,150,320,640,300,340
1012,2023-01-02,Wireless Mouse,Electronics,West,Carol,4,15,35,140,60,80
1013,2023-01-02,Monitor 24in,Electronics,East,Bob,6,180,380,2280,1080,1200
1014,2023-01-02,Keyboard Mech,Electronics,North,Eva,5,55,130,650,275,375
1015,2023-01-02,Keyboard Mech,Electronics,South,Bob,3,55,130,390,165,225
1016,2023-01-03,Pen Pack,Stationery,South,Frank,5,3,12,60,15,45
1017,2023-01-03,Notebook Set,Stationery,North,Carol,1,5,18,18,5,13
1018,2023-01-03,Pen Pack,Stationery,East,Bob,5,3,12,60,15,45
1019,2023-01-03,Keyboard Mech,Electronics,West,Bob,8,55,130,1040,440,600
1020,2023-01-03,Standing Desk,Furniture,East,Frank,3,300,650,1950,900,1050
1021,2023-01-03,Desk Lamp,Furniture,West,Carol,7,25,65,455,175,280
1022,2023-01-04,USB-C Hub,Electronics,North,Alice,9,20,55,495,180,315
1023,2023-01-04,USB-C Hub,Electronics,West,Eva,3,20,55,165,60,105
1024,2023-01-04,Wireless Mouse,Electronics,West,Eva,7,15,35,245,105,140
1025,2023-01-04,Standing Desk,Furniture,North,Frank,9,300,650,5850,2700,3150
1026,2023-01-05,Wireless Mouse,Electronics,East,Alice,9,15,35,315,135,180
1027,2023-01-05,Standing Desk,Furniture,North,Frank,7,300,650,4550,2100,2450
1028,2023-01-05,Sticky Notes,Stationery,South,Eva,5,2,8,40,10,30
1029,2023-01-05,Wireless Mouse,Electronics,South,Bob,5,15,35,175,75,100
1030,2023-01-05,Notebook Set,Stationery,North,Eva,3,5,18,54,15,39
1031,2023-01-05,Notebook Set,Stationery,,Carol,8,5,18,144,40,104
1032,2023-01-05,Standing Desk,Furniture,North,Alice,4,300,650,2600,1200,1400
1033,2023-01-05,Sticky Notes,Stationery,South,Bob,8,2,8,64,16,48
1034,2023-01-06,Monitor 24in,Electronics,West,Bob,9,180,380,3420,1620,1800
1035,2023-01-06,Headphones,Electronics,West,Frank,4,60,150,600,240,360
1036,2023-01-06,Keyboard Mech,Electronics,West,Alice,6,55,130,780,330,450
1037,2023-01-06,Office Chair,Furniture,North,Eva,4,150,320,1280,600,680
1038,2023-01-06,Headphones,Electronics,North,Alice,4,60,150,600,240,360
1039,2023-01-06,Sticky Notes,Stationery,North,Carol,1,2,8,8,2,6
1040,2023-01-06,Wireless Mouse,Electronics,West,Bob,9,15,35,315,135,180
1041,2023-01-06,Headphones,Electronics,West,Bob,3,60,150,450,180,270
1042,2023-01-07,Pen Pack,Stationery,West,Carol,4,3,12,48,12,36
1043,2023-01-07,Pen Pack,Stationery,North,Frank,7,3,12,84,21,63
1044,2023-01-07,Keyboard Mech,Electronics,East,Alice,2,55,130,260,110,150
1045,2023-01-07,Office Chair,Furniture,West,Bob,4,150,320,1280,600,680
1046,2023-01-07,Pen Pack,Stationery,South,Alice,3,3,12,36,9,27
1047,2023-01-07,Monitor 24in,Electronics,North,Alice,9,180,380,3420,1620,1800
1048,2023-01-08,USB-C Hub,Electronics,South,David,7,20,55,385,140,245
1049,2023-01-08,Laptop Pro,Electronics,West,Carol,3,700,1200,3600,2100,1500
1050,2023-01-08,Monitor 24in,Electronics,West,Bob,5,180,380,1900,900,1000
1051,2023-01-08,Office Chair,Furniture,North,Eva,5,150,320,1600,750,850
1052,2023-01-09,Headphones,Electronics,North,Alice,1,60,150,150,60,90
1053,2023-01-09,Desk Lamp,Furniture,South,Alice,8,25,65,520,200,320
1054,2023-01-09,Headphones,Electronics,North,Eva,2,60,150,300,120,180
1055,2023-01-09,Wireless Mouse,Electronics,South,Eva,4,15,35,140,60,80
1056,2023-01-09,Desk Lamp,Furniture,West,Frank,1,25,65,65,25,40
1057,2023-01-09,Desk Lamp,Furniture,East,Bob,10,25,65,650,250,400
1058,2023-01-09,Keyboard Mech,Electronics,West,Bob,6,55,130,780,330,450
